Premise,Hypothesis,Question,Option A,Option B,Option C,Answer,Source,Expected Cosine Similarity
and in a lot of the Japanese cars that come to this country particularly those that have the uh electronic panels there's a little push button some place on the panel that you can switch between uh kilometers per hour and miles per hour,Japanese cars are versatile.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,MNLI,Medium
A competitive swimmer finishes his match as a photographer snaps a closeup of the moment.,A swimmer is standing outside the pool.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,SNLI,Low
five years the the growth in that place is phenomenal,Ten years ago it wasn't growing.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,MNLI,Medium
"At that moment, we were interrupted.",We kept talking without interruption.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,MNLI,Low
Festivals take place in several villages to celebrate the September harvest.,The festivals involve singing and dancing and last several days.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,MNLI,Medium
and it's changed over the over the years um we get along a lot better now that he's older and uh we do different things now we used to play ball a lot but now it's he likes to watch TV and he's into wrestling and um i kept him on Friday night we went see we went to go see a movie and um things like that but i feel like i don't know when i have children i want to be able to spend a lot of time with them,My father and I hardly spent time together when I was a kid.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,MNLI,Medium
"Long Beach boasts some 50 murals, many dating from the New Deal era of the 1930s.",Long Beach has a mural of a cityscape painted in 1930.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,MNLI,Medium
A young man has fallen asleep outside while resting his head on his backpack.,A boy is playing football in the yard,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,SNLI,Low
"They'd got the oilskin packet with the blanks, and they were just mad! ",They received the package and were happy. ,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,MNLI,Low
The runner runs down the street with several people looking at him.,The runner is in last place.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,SNLI,Medium
Today it forms the foreground for the seated part of the Sound and Light Show.,There is only a background for the Show.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,MNLI,Low
"All came in second, Wisk just a shade behind.",Wisk would have taken second place on a good day.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,MNLI,Medium
"A mature woman and senior man are dancing on a dance floor with a few other couples, the lights are all red and you can see an attempt to block the day light with red curtains in the background.",The older couple are celebrating their 50th wedding anniversary.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,SNLI,Medium
"By 10:45 there was, however, another set of fighters circling Washington that had entirely different rules of engagement.",Reports of any fighters in the airspace over Washington on that day are incorrect. ,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,MNLI,Low
Cheerleaders practice a routine while a few people look on.,cheerleaders sit cause a player is down.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,SNLI,Low
"But the organic forms of the buildings, with names like Hope, Fraternity, and Aspiration, still have an impact on the landscape.",The organic nature of the buildings call the eye. ,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,MNLI,Medium
"The production of anhydrous ammonia in the U.S. in 2000 was approximately 17,400,000 tons (equivalent anhydrous) with apparent consumption of 22,000,000 tons and about 4,600,000 met through net imports, as shown in a 2001 edition of U.S.",The US does not produce any anhydrous ammonia each year.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,MNLI,Low
are practicing lawyers,They used to practice law but have now retired.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,MNLI,Low
"The film, directed by Steven Soderbergh, would be worth seeing just for Stamp's performance, at once rock-hard and goofily blinkered, and for Peter Fonda's wittily self-parodic turn as the suspected killer, a music producer who coasts on '60s counterculture easiness while his lackeys do the dirty work.",The film was directed by Steven Soderbergh in 1998.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,MNLI,Medium
"On the afternoon of July 17th, continued Counsel, immediately after the quarrel with her son, Mrs. Inglethorp made a new will. ",Mrs. Inglethorp took her son out of her will.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,MNLI,Medium
A man in a blue shirt is having a drink next to a lady.,A woman is sitting in rehab.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,SNLI,Low
"As technically, of course, he was entitled, ,  He did not finish the sentence. ",He didn't even try to speak.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,MNLI,Low
 Hanson braced himself as the lines of slaves beneath him settled themselves to the ropes.,Hansen fastened himself to the ropes while the slaves prepared themselves.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,MNLI,Low
"They prove that even when all you care about is weather, the Web still has plenty of dirty pictures to show you.","They prove that dirty pictures have vanished from the web, so you can focus on the weather if you care about it.","Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,MNLI,Low
The sun is setting while a man and woman watch a boat go by.,people are talking as they watch the sunset,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,SNLI,Medium
A fighter jet plane is landed outside Notre Dame cathedral at night.,The fighter plane has no one inside of it.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,SNLI,Medium
"Imagine her feelings when her mother-in-law is suddenly taken ill and dies, and immediately after she hears the word 'Poison'! ","Immediately after hearing the yell of ""Poison!"", her mother collapsed.","Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,MNLI,Medium
Man sits on stool beside toys.,A toy maker takes a break after a long day of making toys.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,SNLI,Medium
"Light-haired woman and man smiling, sitting next to each other.",Man and woman busy in washing clothes,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,SNLI,Low
Two men wrestling on the mat while the audience looks on.,Two men wrestling in an empty room.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,SNLI,Low
"Keen to win the allegiance of the Hindus, Akbar abolished most of the discriminatory taxes on non-Muslims, and recruited Rajputs for his army after marrying a daughter of Raja Bharmal of Amber, (though he did not flinch at massacring another 8,000 Rajput soldiers).",They wanted to win the allegiance of the Hindus from India.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,MNLI,Medium
compost pile i haven't been very successful i'm on my third year now and i still have a a pile in the back yard and it it doesn't decompose i guess i got,I have been super successful,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,MNLI,Low
"According to GSA officials, GSA considered establishing a frequent traveler program in the early 1990s but abandoned the idea because the airlines would neither pool the miles received by GSA employees for the agency's use nor provide data to GSA on the miles its employees received.",The frequent traveler program was not helpful to the airline agency.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,MNLI,Medium
well i have an exercise bicycle in my bedroom but it usually's holding clothes,My exercise bicycle is broken.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,MNLI,Medium
three people play soccer in the sand.,The people are running after the soccer ball,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,SNLI,Medium
Family sitting down in a field of grass while others walk by.,Two parents and two children are sitting in a field of grass.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,SNLI,Medium
"Two young adults at a rodeo, one is helping the other to fix an injury to his arm after a brief ride.",A young adult helps another after he is injured by a bull at a rodeo.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,SNLI,Medium
"A female gymnast in a green and black leotard performs in a sitting position, one leg stretched in the air, while other gymnasts look on.",The girl is doing a dance recital.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,SNLI,Low
yeah i like to sew too but you know if i'm not in the mood to sew i can screw things up like you wouldn't believe,I sew lovely things when I am in the mood.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,MNLI,Medium
uh and it's pretty difficult to deal with some of the issues lets say that Texas uh Texas State uh Railroad Commission has to solve when you don't even fathom what the implications are of they're decision so who would you care who got in that position you know,The Texas State Railroad Commission is a high profile election.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,MNLI,Low
"As for me, I wrote my book about Reagan because I'd like to see him get at least some of the recognition he deserves during his lifetime.",I wrote about Thomas Jefferson.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,MNLI,Low
and that's that's in a year that's uh what would you do with all that money,That's a small quantity of money.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,MNLI,Low
A woman wearing a bright blue shirt and dark jean shorts hurries while carrying two yellow bags.,A lady wearing a blue shirt and jeans shorts and carrying two yellow bags has to catch a flight.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,SNLI,Medium
"It carried spring water from near Uz??s to the town of N?®mes, a distance of 35 km (22 miles).",The only water around was salty sea water.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,MNLI,Low
"Prior to 9/11, it was understood that an order to shoot down a commercial aircraft would have to be issued by the National Command Authority (a phrase used to describe the president and secretary of defense).",Aircrafts can't be shot down by just anyone. ,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,MNLI,Medium
"Five km (3 miles) more bring you to thriving Mojacar, a village planted on the eastern extremity of the rugged Sierra Cabrera.",A trip to Mojacar is a difficult trek by foot but it's always worth the effort.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,MNLI,Medium
"The lawsuit, filed by attorneys for Neighborhood Legal Services Association and Community Justice Project, asked the Allegheny County courts to appoint a board of viewers under the state Eminent Domain Code to determine just compensation and relocation expenses for five families who still live there and for several who already were evicted.",The lawsuit asked for help for the people that had moved away from there.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,MNLI,Low
"The tiny village of Watendlath is beautiful a small farming community beside a small tarn, set in a natural bowl surrounded by stark fells, it seems to lie far away from the 20th century.",The tiny village of Watendlath still does not have internet.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,MNLI,Medium
"Hankinson, a native of Dallas, graduated cum laude with her doctorate in jurisprudence from Southern Methodist University School of Law.",Hankinson always wanted to be a lawyer.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,MNLI,Medium
"In the 90s, the volume of NHH-to-HH sector has increased, but its annual growth rate has been falling.",Both volume and growth rates have been increasing consistently.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,MNLI,Low
"Films are usually screened dubbed into Spanish, with rare exceptions in the biggest resorts.",Films are dubbed because the SPanish don't like reading subtitles.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,MNLI,Medium
A man in a black vest standing in the middle of a crowd with his hands on his hips.,A man hurt his hip while standing in a crowd trying to find help,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,SNLI,Medium
"When I came through the hall again a few minutes later, it was gone."" This statement might, or might not, be true, but it did not seem to me to improve matters much for Inglethorp. ",Inglethorp was not impressed with that statement.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,MNLI,Medium
Two men standing by a fire at night.,the men are gay,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,SNLI,Medium
"Didion should know, after three decades of weaving her intricate essays.",Didion's essays are complicated and fascinating.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,MNLI,Medium
Changes in a specialty practice are more likely to occur if they are supported by research conducted within that same discipline.,Changes will never happen because nobody likes change.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,MNLI,Low
"A little girl in cuffed jeans, a long-sleeve pink shirt and no shoes is sleeping on the sofa.",A girl takes a nap after school.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,SNLI,Medium
"In the upstairs picture galleries, the dukes' close links with the Flemish masters of their day are illustrated by works such as the fine Nativit?? of the anonymous Ma?®tre de Fl??malle and Dierick Bouts's Tate de Christ.",The galleries are all in the basement.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,MNLI,Low
Case study methods have been defined by some,Case study methods have never been defined.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,MNLI,Low
The British Labour Party supported the return of domestic policy-making power to Scotland.,The British Labour Party thinks it's a great idea for Scotland to start running their country again. ,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,MNLI,Medium
Conversation often took the form of elegant exchanges of improvised verse.,Conversation was always greatly lacking in any elegance.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,MNLI,Low
A person takes a drink of water while riding on a bike.,The rider took a drink from his coke bottle.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,SNLI,Low
A man prepares his stand up grill with a large flame.,"After using a flamethrower to entertain some soldiers, this guy douses the grill with ice.","Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,SNLI,Low
This hilltop suburb 8 km (5 miles) southwest of Palermo boasts Sicily's finest cathedral (12th-century) and one of the best medieval mosaic cycles in Europe.,The city of Palermo drew some of the greatest architects of the 12th century.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,MNLI,Medium
"Of the $329 million appropriated by Congress to Legal Services Corp. this year, the Valley receives about $15 million to $20 million and employs about 37 staff lawyers.",The Valley gets a huge chunk of the Legal Servies budget.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,MNLI,Low
"And Dublin, a city large in expectations, is still small enough for the visitor to see most of its sights on foot.",The city of Dublin is too large to explore the majority of its sights by foot.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,MNLI,Low
right right or yeah i think they can integrate maybe a short period of time in with high school students and get them to be aware that you know they're not uh especially teenagers they're not the only ones around and what maybe their,I will need several hours of meeting with high school students.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,MNLI,Low
"In those unusual instances when entities have no historical data, only current reporting year data need be reported.","Always include entities, even if they have no historical data.","Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,MNLI,Low
"[F]rom the moment Cecilia Bartoli's vibrant Idamante arrives on stage, the performance takes wing, her luscious, tight vibrato perfectly capturing the adolescent trauma of the young prince, says the Independent 's Mark Pappenheim.","Mark Pappenheim of the Independent panned the performance, and advised skipping it entirely.","Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,MNLI,Low
"Save for one Florida jury, whenever juries have been asked whether the tobacco industry is liable for a smoker's health problems, they've decided that the plaintiff knew what the risks were and chose to ignore them.",The tobacco industry has extensively lobbied for their consumers being liable for their own health issues that arose from smoking. ,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,MNLI,Medium
"At that point in time, the Langley pilots did not know the threat they were facing, did not know where United 93 was located, and did not have shootdown authorization.",The Langley pilots were fully aware of the threat and situation and had authorization.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,MNLI,Low
yeah but he's a good director so i mean he should still be able to,I don't think he will because he's a very bad director,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,MNLI,Low
"And now for the home front, said Tommy, stretching out his hand for a peach.",Tommy was silent and wanted an apple.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,MNLI,Low
"Near this building is the old CityHall, at Lebuh Pasar Besar, which now houses the Textile Museum.",Visit the Textile Museum to view remnants of the Old City Hall.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,MNLI,Medium
Three adult bystanders and one child looking up toward the sky while standing on the sidewalk.,A man and his three children watch the helium balloons float higher in the air.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,SNLI,Low
A woman wearing a yellow blouse is walking on a city sidewalk while a cab whizzes by.,the woman is white,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,SNLI,Medium
A family having a good time eating.,The family is having dinner.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,SNLI,Medium
"The message, again, that I get from the story, for me personally, was that there would always be a special connection between me and God, and actually was just another of the ways my grandmother put for me to learn, or believe, that I could do anything, I could be anything, because I had a special connection and special protection, um, from not only her, which was more important for me at the time.",The message that I got from my Grandmother's story was that God did not exist.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,MNLI,Low
"A poor immigrant Jew works as an assistant shoemaker, patiently waiting for the master shoemaker's daughter to grow old enough to marry.","Her father was a wealthy salesman, and she never wanted to marry off.","Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,MNLI,Low
A woman with her hair up and wearing sunglasses is sitting and leaning against the back of a sofa while looking at her phone.,A woman is seated awaiting an important phone call.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,SNLI,Medium
Corporate welfare lets politicians claim they've created new jobs while wasting your tax money.,It'd be easier to swallow corporate welfare if it didn't come out of our pockets.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,MNLI,Medium
 Now he was here--wherever here was.,He was hiding because he was afraid to be seen.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,MNLI,Medium
"But although these countries were generally satisfied with the progress they had made, they continued to struggle with a number of important issues, such as the acceptable level of risk and the extent to which decisionmaking authority should be devolved to a given organizational level.",The countries were satisfied as they had increased their profits by at least 3% on the previous year.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,MNLI,Medium
yeah well it's it's it's hard in New York too and i mean they get paid twenty eight thousand a year to start,They're given a three figure salary just to start work.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,MNLI,Low
A stoplight is yellow next to a pedestrian crossing sign.,there are pedestrians present,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,SNLI,Medium
There's a flower called Wandering Jew.,There are no flowers named after Jews.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,MNLI,Low
A woman holds a poker chip in her hand hovering over the casino table wondering what number to place her bet on while her friends watch.,A woman is on her last poker chip and is making a decision on where to spend the last one.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,SNLI,Medium
"Finally, there's the orange incident.",The orange incident never happened.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,MNLI,Low
The man is posing in front of a small child near a light post.,a man posing near a light post at night,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,SNLI,Medium
LAP's current funding primarily comes from the state's two largest bar associations and private donations.,There is more funding from private donations than the state's bars. ,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,MNLI,Medium
"After the more sober spirituality of the Romanesque churches, the soaring Gothic cathedrals of Chartres, Paris (Notre-Dame), Bourges, and Amiens were at once monuments to the glory of God and testimony to the sheer power, spiritual and temporal, of the Roman Catholic Church.","Chartres, Paris, Bourges and Amines' cathedrals were monuments to the glory of God and, at the same time, testimony to sheer power of the Islamic religion.","Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,MNLI,Low
