Premise,Hypothesis,Question,Option A,Option B,Option C,Answer,Source,Expected Cosine Similarity
i think there's an eighty percent chance this evening but it's supposed to be cleared out at least by noon tomorrow and then the rest'll be without rain,I bet that it will rain this evening.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,MNLI,Medium
"An Asian girl makes a surprised face while wearing a shirt that says ""Radio""","A young girl is modeling her ""Radio"" shirt","Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,SNLI,Medium
You can hire an official guide on Masada or follow the park maps and carefully labeled site explanations.,Following the park maps of just as rich an experience as hiring an official guide.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,MNLI,Medium
A newlywed Asian couple gets flower petals thrown on them.,The man and woman are celebrating their anniversary.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,SNLI,Low
A man is looking at the moon throw a telescope at dusk.,A man focuses on the moon.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,SNLI,Medium
"But the market has clearly signaled a future in which guanxi , or connections, will count as much as traditional pluck and enterprise.",The market states that connections are worthless.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,MNLI,Low
A cook in a green apron pauses for a moment beside an outdoor grill.,Hamburgers are on the grill.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,SNLI,Medium
"A person sits next to light pole that has flags on it with anchors, overlooking a river and a city front on the other side.",The person is standing by the light pole.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,SNLI,Low
No one took much notice of that at the inquest ”but now it has a very different significance. ,It didn't seem important at the time.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,MNLI,Medium
and in fact i know some people that uh probably will quit before being tested even though there's nothing to uh to worry about as far as i know from the test results just a matter of principle,Some people will quit before getting tested.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,A,MNLI,Unpredictable
"Two young boys are smiling while sitting next to an organized fruit cart that holds apples, grapes, plums, and various other fruits.",Two boys are silently scheming a plan.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,SNLI,Medium
A person is sitting next to a tv holding a plate of food.,A girl is playing outside.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,SNLI,Low
A woman in a hat plays the guitar next to a woman talking on the phone.,Both women are asleep.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,SNLI,Low
the other year,Not this year.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,A,MNLI,Unpredictable
"All is forgiven when Tarzan (the voice of Tony Goldwyn) meets Minnie Driver--I mean, Jane.",When Tarzan meets jane there is chaos.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,MNLI,Low
"Sullum cites convincing statistics showing that the cost of smoking probably more or less equals the benefits, if you factor in the exorbitant taxes smokers pay and recognize that by dying early they save us a bundle on Social Security.",The early death of smokers actually benefits the budget in some ways.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,A,MNLI,Unpredictable
Take time to explore the exquisite Moorish stonework and the elegant domes and minaret.,The Moorish stonework and elegant domes and minaret are all there is to explore.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,MNLI,Medium
A person maneuvers rapids while riding a watercraft.,A person rides a watercraft.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,A,SNLI,Unpredictable
and in a lot of the Japanese cars that come to this country particularly those that have the uh electronic panels there's a little push button some place on the panel that you can switch between uh kilometers per hour and miles per hour,Japanese cars are versatile.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,MNLI,Medium
The legislation on reserving seats gave the Muslims the basis for an alternative to an India in which they were only a quarter of the  Partition.,The Muslims were not the majority of the Partition. ,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,A,MNLI,Unpredictable
Cabin service would have begun.,They were about to start cabin service.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,A,MNLI,Unpredictable
A competitive swimmer finishes his match as a photographer snaps a closeup of the moment.,A swimmer is standing outside the pool.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,SNLI,Low
but uh we've gotten pretty good at it we've been doing it a couple of years now,We're pretty good at it. ,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,A,MNLI,Unpredictable
five years the the growth in that place is phenomenal,Ten years ago it wasn't growing.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,MNLI,Medium
"At that moment, we were interrupted.",We kept talking without interruption.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,MNLI,Low
A man is taking in the busy city during a night walk.,A man is taking a night walk.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,A,SNLI,Unpredictable
Festivals take place in several villages to celebrate the September harvest.,The festivals involve singing and dancing and last several days.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,MNLI,Medium
and it's changed over the over the years um we get along a lot better now that he's older and uh we do different things now we used to play ball a lot but now it's he likes to watch TV and he's into wrestling and um i kept him on Friday night we went see we went to go see a movie and um things like that but i feel like i don't know when i have children i want to be able to spend a lot of time with them,My father and I hardly spent time together when I was a kid.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,MNLI,Medium
"Long Beach boasts some 50 murals, many dating from the New Deal era of the 1930s.",Long Beach has a mural of a cityscape painted in 1930.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,MNLI,Medium
but i think they're going to i think they're really going to do good because it seems like they're finally all coming together,I believe they'll do well this year.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,A,MNLI,Unpredictable
Three boys are searching for their books in a library.,There is one more than just two boys in the library.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,A,SNLI,Unpredictable
A young man has fallen asleep outside while resting his head on his backpack.,A boy is playing football in the yard,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,SNLI,Low
"They'd got the oilskin packet with the blanks, and they were just mad! ",They received the package and were happy. ,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,MNLI,Low
The runner runs down the street with several people looking at him.,The runner is in last place.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,SNLI,Medium
Today it forms the foreground for the seated part of the Sound and Light Show.,There is only a background for the Show.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,MNLI,Low
"All came in second, Wisk just a shade behind.",Wisk would have taken second place on a good day.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,MNLI,Medium
"A mature woman and senior man are dancing on a dance floor with a few other couples, the lights are all red and you can see an attempt to block the day light with red curtains in the background.",The older couple are celebrating their 50th wedding anniversary.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,SNLI,Medium
"By 10:45 there was, however, another set of fighters circling Washington that had entirely different rules of engagement.",Reports of any fighters in the airspace over Washington on that day are incorrect. ,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,MNLI,Low
Cheerleaders practice a routine while a few people look on.,cheerleaders sit cause a player is down.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,SNLI,Low
"But the organic forms of the buildings, with names like Hope, Fraternity, and Aspiration, still have an impact on the landscape.",The organic nature of the buildings call the eye. ,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,MNLI,Medium
"You have to pay the group's dues ($10 a year) to use the services; after that you get 30 minutes of legal counseling, either face-to-face or by phone, at no cost.",The services are only available to those who pay the $10 yearly dues.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,A,MNLI,Unpredictable
"President Clinton began backing away from his pledge to remove U.S. troops from Bosnia by June 1998, which had replaced his previous pledge to remove the troops by December 1997.",President Clinton was unable to commit to a single date when he pledged to remove troops from Bosnia.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,A,MNLI,Unpredictable
"The production of anhydrous ammonia in the U.S. in 2000 was approximately 17,400,000 tons (equivalent anhydrous) with apparent consumption of 22,000,000 tons and about 4,600,000 met through net imports, as shown in a 2001 edition of U.S.",The US does not produce any anhydrous ammonia each year.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,MNLI,Low
are practicing lawyers,They used to practice law but have now retired.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,MNLI,Low
"The film, directed by Steven Soderbergh, would be worth seeing just for Stamp's performance, at once rock-hard and goofily blinkered, and for Peter Fonda's wittily self-parodic turn as the suspected killer, a music producer who coasts on '60s counterculture easiness while his lackeys do the dirty work.",The film was directed by Steven Soderbergh in 1998.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,MNLI,Medium
"On the afternoon of July 17th, continued Counsel, immediately after the quarrel with her son, Mrs. Inglethorp made a new will. ",Mrs. Inglethorp took her son out of her will.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,MNLI,Medium
A man in a blue shirt is having a drink next to a lady.,A woman is sitting in rehab.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,SNLI,Low
"As technically, of course, he was entitled, ,  He did not finish the sentence. ",He didn't even try to speak.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,MNLI,Low
They don't have to make large stockholders known until the company files with the SEC to go public.,"As long as the company isn't public, they don't have to make the large stockholders known.","Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,A,MNLI,Unpredictable
A child in yellow attempts a goal at a soccer game while the goalie in red tries to block the shot.,Kids are playing soccer,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,A,SNLI,Unpredictable
 Hanson braced himself as the lines of slaves beneath him settled themselves to the ropes.,Hansen fastened himself to the ropes while the slaves prepared themselves.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,MNLI,Low
"They prove that even when all you care about is weather, the Web still has plenty of dirty pictures to show you.","They prove that dirty pictures have vanished from the web, so you can focus on the weather if you care about it.","Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,MNLI,Low
The sun is setting while a man and woman watch a boat go by.,people are talking as they watch the sunset,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,SNLI,Medium
A fighter jet plane is landed outside Notre Dame cathedral at night.,The fighter plane has no one inside of it.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,SNLI,Medium
"Imagine her feelings when her mother-in-law is suddenly taken ill and dies, and immediately after she hears the word 'Poison'! ","Immediately after hearing the yell of ""Poison!"", her mother collapsed.","Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,MNLI,Medium
Man sits on stool beside toys.,A toy maker takes a break after a long day of making toys.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,SNLI,Medium
That was the first time Thorn had died.,Thorn had died for the first time.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,A,MNLI,Unpredictable
"Light-haired woman and man smiling, sitting next to each other.",Man and woman busy in washing clothes,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,SNLI,Low
Two men wrestling on the mat while the audience looks on.,Two men wrestling in an empty room.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,SNLI,Low
The problem with all this is that posturing about Southern truckstop/trailer park chic can sometimes be little more than that--posturing.,When posturing about Southern truckstop/trailer park chic one should be aware that all they are doing is posturing.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,A,MNLI,Unpredictable
"Each year, OIM staff assists our grantees in verifying the reporting of CSR data through the annual self-inspection process.",An annual self inspection process is used to verify reporting.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,A,MNLI,Unpredictable
"Keen to win the allegiance of the Hindus, Akbar abolished most of the discriminatory taxes on non-Muslims, and recruited Rajputs for his army after marrying a daughter of Raja Bharmal of Amber, (though he did not flinch at massacring another 8,000 Rajput soldiers).",They wanted to win the allegiance of the Hindus from India.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,MNLI,Medium
compost pile i haven't been very successful i'm on my third year now and i still have a a pile in the back yard and it it doesn't decompose i guess i got,I have been super successful,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,MNLI,Low
"According to GSA officials, GSA considered establishing a frequent traveler program in the early 1990s but abandoned the idea because the airlines would neither pool the miles received by GSA employees for the agency's use nor provide data to GSA on the miles its employees received.",The frequent traveler program was not helpful to the airline agency.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,MNLI,Medium
"A little girl, with dark hair and a yellow vest with striped pants on, is crouching down next to a flower basket.",girl next to basket,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,A,SNLI,Unpredictable
well i have an exercise bicycle in my bedroom but it usually's holding clothes,My exercise bicycle is broken.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,MNLI,Medium
A brown and white dog is leaping over a log in a field while another dog follows behind it.,Two dogs are running in a field.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,A,SNLI,Unpredictable
three people play soccer in the sand.,The people are running after the soccer ball,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,SNLI,Medium
She stayed in the car the whole time.,She spent the entire time in the car,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,A,MNLI,Unpredictable
oh yeah my husband would like to live there but i don't know all of our family is here so,All of our family lives here but my husband would still like to live here.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,A,MNLI,Unpredictable
Family sitting down in a field of grass while others walk by.,Two parents and two children are sitting in a field of grass.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,SNLI,Medium
"Two young adults at a rodeo, one is helping the other to fix an injury to his arm after a brief ride.",A young adult helps another after he is injured by a bull at a rodeo.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,SNLI,Medium
"A female gymnast in a green and black leotard performs in a sitting position, one leg stretched in the air, while other gymnasts look on.",The girl is doing a dance recital.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,SNLI,Low
yeah i like to sew too but you know if i'm not in the mood to sew i can screw things up like you wouldn't believe,I sew lovely things when I am in the mood.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,MNLI,Medium
Two men and a child performing an act during a street performance.,Two men and a child on street.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,A,SNLI,Unpredictable
uh and it's pretty difficult to deal with some of the issues lets say that Texas uh Texas State uh Railroad Commission has to solve when you don't even fathom what the implications are of they're decision so who would you care who got in that position you know,The Texas State Railroad Commission is a high profile election.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,MNLI,Low
"As for me, I wrote my book about Reagan because I'd like to see him get at least some of the recognition he deserves during his lifetime.",I wrote about Thomas Jefferson.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,MNLI,Low
A child is holding a colorful object and overlooking a crowd of people while sitting on the shoulders of an older person.,A child is sitting on the shoulders of someone older than them and near a crowd of people,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,A,SNLI,Unpredictable
you know you you're talking to probably one of the the sixties late sixties and early seventies original hippies  now living in suburbia raising kids um,You might be speaking to a hippie from the late sixties.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,A,MNLI,Unpredictable
and that's that's in a year that's uh what would you do with all that money,That's a small quantity of money.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,MNLI,Low
A woman wearing a bright blue shirt and dark jean shorts hurries while carrying two yellow bags.,A lady wearing a blue shirt and jeans shorts and carrying two yellow bags has to catch a flight.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,SNLI,Medium
"It carried spring water from near Uz??s to the town of N?®mes, a distance of 35 km (22 miles).",The only water around was salty sea water.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,MNLI,Low
"A group of children that are either sitting or standing in a line, while two are holding a round object.","A group of children in a line, two of which are holding something round.","Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,A,SNLI,Unpredictable
"Prior to 9/11, it was understood that an order to shoot down a commercial aircraft would have to be issued by the National Command Authority (a phrase used to describe the president and secretary of defense).",Aircrafts can't be shot down by just anyone. ,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,MNLI,Medium
Several men in blue jumpsuits and yellow shirts stand next to yellow cylinders.,Several men are next to cylinders.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,A,SNLI,Unpredictable
There have been 20 winners to date.,"In the past, there has been 20 winners.","Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,A,MNLI,Unpredictable
"Five km (3 miles) more bring you to thriving Mojacar, a village planted on the eastern extremity of the rugged Sierra Cabrera.",A trip to Mojacar is a difficult trek by foot but it's always worth the effort.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,MNLI,Medium
Three men at a table while one looks on holding his martini.,There is a table.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,A,SNLI,Unpredictable
"The lawsuit, filed by attorneys for Neighborhood Legal Services Association and Community Justice Project, asked the Allegheny County courts to appoint a board of viewers under the state Eminent Domain Code to determine just compensation and relocation expenses for five families who still live there and for several who already were evicted.",The lawsuit asked for help for the people that had moved away from there.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,MNLI,Low
"The tiny village of Watendlath is beautiful a small farming community beside a small tarn, set in a natural bowl surrounded by stark fells, it seems to lie far away from the 20th century.",The tiny village of Watendlath still does not have internet.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,MNLI,Medium
"Hankinson, a native of Dallas, graduated cum laude with her doctorate in jurisprudence from Southern Methodist University School of Law.",Hankinson always wanted to be a lawyer.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,MNLI,Medium
and uh the the kids maul the dog something awful they pull his tail and bend his ears and uh have a good time playing with him and the dog is pretty uh tolerant of them,"These kids mauled the dog by pulling his ears, pulling their tails and bending his ears but the dog was tolerant of them.","Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,A,MNLI,Unpredictable
"In the 90s, the volume of NHH-to-HH sector has increased, but its annual growth rate has been falling.",Both volume and growth rates have been increasing consistently.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,C,MNLI,Low
"Films are usually screened dubbed into Spanish, with rare exceptions in the biggest resorts.",Films are dubbed because the SPanish don't like reading subtitles.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,MNLI,Medium
Baby loving his or her first time in the swing.,A baby is having a good time.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,A,SNLI,Unpredictable
A man in a black vest standing in the middle of a crowd with his hands on his hips.,A man hurt his hip while standing in a crowd trying to find help,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,SNLI,Medium
"When I came through the hall again a few minutes later, it was gone."" This statement might, or might not, be true, but it did not seem to me to improve matters much for Inglethorp. ",Inglethorp was not impressed with that statement.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,MNLI,Medium
it's getting it's shrinking down it's getting small but it uh it's still grass it's it's dried up grass and it it just stays there it doesn't turn into dirt,It's still grass.,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,A,MNLI,Unpredictable
Two men standing by a fire at night.,the men are gay,"Do the hypothesis and premise logically entail each other, contradict each other, or remain undetermined?",entailment,neutral,contradiction,B,SNLI,Medium
