,id,WorkerId,q1,q2,doc1,doc2,Expected_q1_q2,Expected_q1_doc1,Expected_q1_doc2,Expected_q2_doc1,Expected_q2_doc2
10,449-2,0,Which volcano before its eruption in 1991 did not have any distinguishing characteristics?,Which volcano before its eruption in 1991 had one distinguishing characteristic?,"It is difficult to distinguish an extinct volcano from a dormant (inactive) one. Dormant volcanoes are those that have not erupted for thousands of years, but are likely to erupt again in the future. Volcanoes are often considered to be extinct if there are no written records of its activity. Nevertheless, volcanoes may remain dormant for a long period of time. For example, Yellowstone has a repose/recharge period of around 700,000 years, and Toba of around 380,000 years. Vesuvius was described by Roman writers as having been covered with gardens and vineyards before its eruption of 79 CE, which destroyed the towns of Herculaneum and Pompeii. Before its catastrophic eruption of 1991, Pinatubo was an inconspicuous volcano, unknown to most people in the surrounding areas. Two other examples are the long-dormant Soufrière Hills volcano on the island of Montserrat, thought to be extinct before activity resumed in 1995, and Fourpeaked Mountain in Alaska, which, before its September 2006 eruption, had not erupted since before 8000 BCE and had long been thought to be extinct.","It is difficult to distinguish an extinct volcano from a dormant (inactive) one. Dormant volcanoes are those that have not erupted for thousands of years, but are likely to erupt again in the future. Volcanoes are often considered to be extinct if there are no written records of its activity. Nevertheless, volcanoes may remain dormant for a long period of time. For example, Yellowstone has a repose/recharge period of around 700,000 years, and Toba of around 380,000 years. Vesuvius was described by Roman writers as having been covered with gardens and vineyards before its eruption of 79 CE, which destroyed the towns of Herculaneum and Pompeii. Before its catastrophic eruption of 1991, Pinatubo was a volcano of significant size, yet it was relatively inconspicuous within the terrain and hence unknown to most people in the surrounding areas. Two other examples are the long-dormant Soufrière Hills volcano on the island of Montserrat, thought to be extinct before activity resumed in 1995, and Fourpeaked Mountain in Alaska, which, before its September 2006 eruption, had not erupted since before 8000 BCE and had long been thought to be extinct.",High,High,Low,Low,High
11,449-3,6,What volcano that was indistinct erupted in 1991?,What volcano that was not indistinct erupted in 1991?,"It is difficult to distinguish an extinct volcano from a dormant (inactive) one. Dormant volcanoes are those that have not erupted for thousands of years, but are likely to erupt again in the future. Volcanoes are often considered to be extinct if there are no written records of its activity. Nevertheless, volcanoes may remain dormant for a long period of time. For example, Yellowstone has a repose/recharge period of around 700,000 years, and Toba of around 380,000 years. Vesuvius was described by Roman writers as having been covered with gardens and vineyards before its eruption of 79 CE, which destroyed the towns of Herculaneum and Pompeii. Before its catastrophic eruption of 1991, Pinatubo was an inconspicuous volcano, unknown to most people in the surrounding areas. Two other examples are the long-dormant Soufrière Hills volcano on the island of Montserrat, thought to be extinct before activity resumed in 1995, and Fourpeaked Mountain in Alaska, which, before its September 2006 eruption, had not erupted since before 8000 BCE and had long been thought to be extinct.","It is difficult to distinguish an extinct volcano from a dormant (inactive) one. Dormant volcanoes are those that have not erupted for thousands of years, but are likely to erupt again in the future. Volcanoes are often considered to be extinct if there are no written records of its activity. Nevertheless, volcanoes may remain dormant for a long period of time. For example, Yellowstone has a repose/recharge period of around 700,000 years, and Toba of around 380,000 years. Vesuvius was described by Roman writers as having been covered with gardens and vineyards before its eruption of 79 CE, which destroyed the towns of Herculaneum and Pompeii. Before its catastrophic eruption of 1991, Pinatubo was an obvious and conspicuous volcano, yet the potential for eruption was unknown to most people in the surrounding areas. Two other examples are the long-dormant Soufrière Hills volcano on the island of Montserrat, thought to be extinct before activity resumed in 1995, and Fourpeaked Mountain in Alaska, which, before its September 2006 eruption, had not erupted since before 8000 BCE and had long been thought to be extinct.",High,High,Low,Low,High
12,450-2,1,"Which governing body, like the federal government, denied him full reimbursement?","Which governing body, unlike the federal government, granted him full reimbursement?","When Tompkins became Vice President, he was in poor health, due to a fall from a horse on November 3, 1814. His finances were also quite poor. During the War of 1812, he had personally financed New York's war effort with borrowed money, but did not adequately document his expenses. Both the New York legislature and the federal government refused him full reimbursement. He also slipped into alcoholism. With poor physical and financial health, Tompkins spent much of his Vice Presidency outside of Washington, D.C., and Tompkins made for a poor presiding officer of the Senate while it debated the Missouri Compromise in 1820. In 1823, Tompkins finally won compensation from the federal government, but he continued to drink heavily and was unable to resolve his business affairs.","When Tompkins became Vice President, he was in poor health, due to a fall from a horse on November 3, 1814. His finances were also quite poor. During the War of 1812, he had personally financed New York's war effort with borrowed money, but did not adequately document his expenses. The federal government, but not the New York legislature, refused him full reimbursement. He also slipped into alcoholism. With poor physical and financial health, Tompkins spent much of his Vice Presidency outside of Washington, D.C., and Tompkins made for a poor presiding officer of the Senate while it debated the Missouri Compromise in 1820. In 1823, Tompkins finally won compensation from the federal government, but he continued to drink heavily and was unable to resolve his business affairs.",High,High,Low,Low,High
13,450-3,1,"Which governing body, aside from the New York legislature, prohibited Tompkins full reimbursement?","Which governing body, aside from the New York legislature, provided Tompkins full reimbursement?","When Tompkins became Vice President, he was in poor health, due to a fall from a horse on November 3, 1814. His finances were also quite poor. During the War of 1812, he had personally financed New York's war effort with borrowed money, but did not adequately document his expenses. Both the New York legislature and the federal government refused him full reimbursement. He also slipped into alcoholism. With poor physical and financial health, Tompkins spent much of his Vice Presidency outside of Washington, D.C., and Tompkins made for a poor presiding officer of the Senate while it debated the Missouri Compromise in 1820. In 1823, Tompkins finally won compensation from the federal government, but he continued to drink heavily and was unable to resolve his business affairs.","When Tompkins became Vice President, he was in poor health, due to a fall from a horse on November 3, 1814. His finances were also surprisingly quite poor. During the War of 1812, he had personally financed New York's war effort with borrowed money, but did not adequately document his expenses. Despite this, both the New York legislature and the federal government allowed him full reimbursement. He also slipped into alcoholism. With poor physical and financial health, Tompkins spent much of his Vice Presidency outside of Washington, D.C., and Tompkins made for a poor presiding officer of the Senate while it debated the Missouri Compromise in 1820. In 1823, even though he had received compensation from the federal government, he continued to drink heavily and was unable to resolve his business affairs.",High,High,Low,Low,High
14,451-2,1,Which country did not resist the acquisition of the Austrian anthem's melody by Germany?,Which country didn't oppose the acquisition of the Austrian anthem's melody?,"After the dissolution of the Holy Roman Empire in 1806, "" became the official anthem of the emperor of the Austrian Empire. After the death of Francis II new lyrics were composed in 1854, ""Gott erhalte, Gott beschütze"", that mentioned the Emperor, but not by name. With those new lyrics, the song continued to be the anthem of Imperial Austria and later of Austria-Hungary. Austrian monarchists continued to use this anthem after 1918 in the hope of restoring the monarchy. The adoption of the Austrian anthem's melody by Germany in 1922 was not opposed by Austria.","After the dissolution of the Holy Roman Empire in 1806, "" became the official anthem of the emperor of the Austrian Empire. After the death of Francis II new lyrics were composed in 1854, ""Gott erhalte, Gott beschütze"", that mentioned the Emperor, but not by name. With those new lyrics, the song continued to be the anthem of Imperial Austria and later of Austria-Hungary. Austrian monarchists continued to use this anthem after 1918 in the hope of restoring the monarchy. Germany did not resist adopting the melody of Austria's anthem in 1922.",High,High,Low,Low,High
15,451-3,0,What year did the unchallenged adoption of the Austrian anthem by their neighboring country take place?,What year did the supported adoption of the Austrian anthem by their neighboring country take place?,"After the dissolution of the Holy Roman Empire in 1806, "" became the official anthem of the emperor of the Austrian Empire. After the death of Francis II new lyrics were composed in 1854, ""Gott erhalte, Gott beschütze"", that mentioned the Emperor, but not by name. With those new lyrics, the song continued to be the anthem of Imperial Austria and later of Austria-Hungary. Austrian monarchists continued to use this anthem after 1918 in the hope of restoring the monarchy. The adoption of the Austrian anthem's melody by Germany in 1922 was not opposed by Austria.","After the dissolution of the Holy Roman Empire in 1806, "" became the official anthem of the emperor of the Austrian Empire. After the death of Francis II new lyrics were composed in 1854, ""Gott erhalte, Gott beschütze"", that mentioned the Emperor, but not by name. With those new lyrics, the song continued to be the anthem of Imperial Austria and later of Austria-Hungary. Austrian monarchists continued to use this anthem after 1918 in the hope of restoring the monarchy. The Austrian anthem's melody was approved for German adoption in 1922 by both parties.",High,High,Low,Low,High
16,452-2,0,What prohibited ideology did William Penn align with?,What accepted ideology did William Penn not align with?,"Intolerance of dissident forms of Protestantism also continued, as evidenced by the exodus of the Pilgrims, who sought refuge, first in the Netherlands, and ultimately in America, founding Plymouth Colony in Massachusetts in 1620. William Penn, the founder of Philadelphia, was involved in a case which had a profound effect upon future American laws and those of England. In a classic case of jury nullification, the jury refused to convict William Penn of preaching a Quaker sermon, which was illegal. Even though the jury was imprisoned for their acquittal, they stood by their decision and helped establish the freedom of religion.","Intolerance of dissident forms of Protestantism also continued, as evidenced by the exodus of the Pilgrims, who sought refuge, first in the Netherlands, and ultimately in America, founding Plymouth Colony in Massachusetts in 1620. William Penn, the founder of Philadelphia, was involved in a case which had a profound effect upon future American laws and those of England. In a classic case of jury nullification, the jury refused to convict William Penn of preaching a sermon, which was illegal . Even though the jury was imprisoned for their acquittal, they stood by their decision and helped establish the freedom of religion.",High,High,Low,Low,High
17,452-3,0,What forbidden religious ideology was William Penn preaching?,What unforbidden religious ideology was William Penn preaching?,"Intolerance of dissident forms of Protestantism also continued, as evidenced by the exodus of the Pilgrims, who sought refuge, first in the Netherlands, and ultimately in America, founding Plymouth Colony in Massachusetts in 1620. William Penn, the founder of Philadelphia, was involved in a case which had a profound effect upon future American laws and those of England. In a classic case of jury nullification, the jury refused to convict William Penn of preaching a Quaker sermon, which was illegal. Even though the jury was imprisoned for their acquittal, they stood by their decision and helped establish the freedom of religion.","Intolerance of dissident forms of Protestantism also continued, as evidenced by the exodus of the Pilgrims, who sought refuge, first in the Netherlands, and ultimately in America, founding Plymouth Colony in Massachusetts in 1620. William Penn, the founder of Philadelphia, was involved in a case which had a profound effect upon future American laws and those of England. In a classic case of juries upholding the law, the jury refused to convict William Penn of preaching a Quaker sermon, because it was was legal . The jury was not imprisoned for their acquittal, and they stood by their decision and helped establish the freedom of religion.",High,High,Low,Low,High
18,453-2,0,"How were many casualties handled, which led to maggots becoming useful?","How were the surroundings handled, which led to maggots becoming useful?","In the American Civil War (1861–65), as was typical of the 19th century, more soldiers died of disease than in battle, and even larger numbers were temporarily incapacitated by wounds, disease and accidents. Conditions were poor in the Confederacy, where doctors and medical supplies were in short supply. The war had a dramatic long-term impact on medicine in the U.S., from surgical technique to hospitals to nursing and to research facilities. Weapon development -particularly the appearance of Springfield Model 1861, mass-produced and much more accurate than muskets led to generals underestimating the risks of long range rifle fire; risks exemplified in the death of John Sedgwick and the disastrous Pickett's Charge. The rifles could shatter bone forcing amputation and longer ranges meant casualties were sometimes not quickly found. Evacuation of the wounded from Second Battle of Bull Run took a week. As in earlier wars, untreated casualties sometimes survived unexpectedly due to maggots debriding the wound -an observation which led to the surgical use of maggots -still a useful method in the absence of effective antibiotics.","In the American Civil War (1861–65), as was typical of the 19th century, more soldiers died of disease than in battle, and even larger numbers were temporarily incapacitated by wounds, disease and accidents. Conditions were poor in the Confederacy, where doctors and medical supplies were in short supply. The war had a dramatic long-term impact on medicine in the U.S., from surgical technique to hospitals to nursing and to research facilities. Weapon development -particularly the appearance of Springfield Model 1861, mass-produced and much more accurate than muskets led to generals underestimating the risks of long range rifle fire; risks exemplified in the death of John Sedgwick and the disastrous Pickett's Charge. The rifles could shatter bone forcing amputation and longer ranges meant casualties were sometimes not quickly found. Evacuation of the wounded from Second Battle of Bull Run took a week. As in earlier wars, casualties sometimes survived unexpectedly due to maggots from the untreated fields debriding the wound -an observation which led to the surgical use of maggots -still a useful method in the absence of effective antibiotics.",High,High,Low,Low,High
19,455-2,6,"What type of stitches, unlik shuttle-made tatting, readily unravel?","What type of stitches, unlike shuttle-made tatting, do not readily unravel?","Cro-tatting combines needle tatting with crochet. The cro-tatting tool is a tatting needle with a crochet hook at the end. One can also cro-tat with a bullion crochet hook or a very straight crochet hook. In the 19th century, ""crochet tatting"" patterns were published which simply called for a crochet hook. One of the earliest patterns is for a crocheted afghan with tatted rings forming a raised design. Patterns are available in English and are equally divided between yarn and thread. In its most basic form, the rings are tatted with a length of plain thread between them, as in single-shuttle tatting. In modern patterns, beginning in the early 20th century, the rings are tatted and the arches or chains are crocheted. Many people consider cro-tatting more difficult than crochet or needle tatting. Some tatting instructors recommend using a tatting needle and a crochet hook to work cro-tatting patterns. Stitches of cro-tatting (and needle tatting before a ring is closed) unravel easily, unlike tatting made with a shuttle.","Cro-tatting combines needle tatting with crochet. The cro-tatting tool is a tatting needle with a crochet hook at the end. One can also cro-tat with a bullion crochet hook or a very straight crochet hook. In the 19th century, ""crochet tatting"" patterns were published which simply called for a crochet hook. One of the earliest patterns is for a crocheted afghan with tatted rings forming a raised design. Patterns are available in English and are equally divided between yarn and thread. In its most basic form, the rings are tatted with a length of plain thread between them, as in single-shuttle tatting. In modern patterns, beginning in the early 20th century, the rings are tatted and the arches or chains are crocheted. Many people consider cro-tatting more difficult than crochet or needle tatting. Some tatting instructors recommend using a tatting needle and a crochet hook to work cro-tatting patterns. Stitches of cro-tatting (and even needle tatting before a ring is closed) are difficult to unravel, unlike tatting made with a shuttle.",High,High,Low,Low,High
20,455-3,8,What type of stitches unravel more easily than tatting made with a shuttle?,What type of stitches unravel as easily as tatting made with a shuttle?,"Cro-tatting combines needle tatting with crochet. The cro-tatting tool is a tatting needle with a crochet hook at the end. One can also cro-tat with a bullion crochet hook or a very straight crochet hook. In the 19th century, ""crochet tatting"" patterns were published which simply called for a crochet hook. One of the earliest patterns is for a crocheted afghan with tatted rings forming a raised design. Patterns are available in English and are equally divided between yarn and thread. In its most basic form, the rings are tatted with a length of plain thread between them, as in single-shuttle tatting. In modern patterns, beginning in the early 20th century, the rings are tatted and the arches or chains are crocheted. Many people consider cro-tatting more difficult than crochet or needle tatting. Some tatting instructors recommend using a tatting needle and a crochet hook to work cro-tatting patterns. Stitches of cro-tatting (and needle tatting before a ring is closed) unravel easily, unlike tatting made with a shuttle.","Cro-tatting combines needle tatting with crochet. The cro-tatting tool is a tatting needle with a crochet hook at the end. One can also cro-tat with a bullion crochet hook or a very straight crochet hook. In the 19th century, ""crochet tatting"" patterns were published which simply called for a crochet hook. One of the earliest patterns is for a crocheted afghan with tatted rings forming a raised design. Patterns are available in English and are equally divided between yarn and thread. In its most basic form, the rings are tatted with a length of plain thread between them, as in single-shuttle tatting. In modern patterns, beginning in the early 20th century, the rings are tatted and the arches or chains are crocheted. Many people consider cro-tatting more difficult than crochet or needle tatting. Some tatting instructors recommend using a tatting needle and a crochet hook to work cro-tatting patterns. Stitches of cro-tatting (and needle tatting before a ring is closed) still unravel easily, as does tatting made with a shuttle.",High,High,Low,Low,High
21,456-2,0,What is a casual name synonym for quotation marks?,What is an official synonym for quotation marks?,"In English writing, quotation marks or inverted commas, also known informally as quotes, talking marks, speech marks, quote marks, quotemarks or speechmarks, are punctuation marks placed on either side of a word or phrase in order to identify it as a quotation, direct speech or a literal title or name. Quotation marks may be used to indicate that the meaning of the word or phrase they surround should be taken to be different from (or, at least, a modification of) that typically associated with it, and are often used in this way to express irony. (For example, in the sentence 'The lunch lady plopped a glob of ""food"" onto my tray.' the quotation marks around the word ""food"" show it is being called that ironically.) They also sometimes appear to be used as a means of adding emphasis, although this usage is usually considered incorrect.","In English writing, quotation marks or inverted commas, also known informal ly as quotes, talking marks, or formally as speech marks, quote marks, quotemarks or speechmarks, are punctuation marks placed on either side of a word or phrase in order to identify it as a quotation, direct speech or a literal title or name. Quotation marks may be used to indicate that the meaning of the word or phrase they surround should be taken to be different from (or, at least, a modification of) that typically associated with it, and are often used in this way to express irony. (For example, in the sentence 'The lunch lady plopped a glob of ""food"" onto my tray.' the quotation marks around the word ""food"" show it is being called that ironically.) They also sometimes appear to be used as a means of adding emphasis, although this usage is usually considered incorrect.",High,High,Low,Low,High
22,456-3,0,Where are the items known unconventionally as speechmarks usually placed in a sentence?,Where are the items known conventionally as speechmarks usually placed in a sentence?,"In English writing, quotation marks or inverted commas, also known informally as quotes, talking marks, speech marks, quote marks, quotemarks or speechmarks, are punctuation marks placed on either side of a word or phrase in order to identify it as a quotation, direct speech or a literal title or name. Quotation marks may be used to indicate that the meaning of the word or phrase they surround should be taken to be different from (or, at least, a modification of) that typically associated with it, and are often used in this way to express irony. (For example, in the sentence 'The lunch lady plopped a glob of ""food"" onto my tray.' the quotation marks around the word ""food"" show it is being called that ironically.) They also sometimes appear to be used as a means of adding emphasis, although this usage is usually considered incorrect.","In English writing, quotation marks or inverted commas, also known formally as quotes, talking marks, speech marks, quote marks, quotemarks or speechmarks, are punctuation marks placed on either side of a word or phrase in order to identify it as a quotation, direct speech or a literal title or name. Quotation marks may be used to indicate that the meaning of the word or phrase they surround should be taken to be different from (or, at least, a modification of) that typically associated with it, and are often used in this way to express irony. (For example, in the sentence 'The lunch lady plopped a glob of ""food"" onto my tray.' the quotation marks around the word ""food"" show it is being called that ironically.) They also sometimes appear to be used as a means of adding emphasis, although this usage is usually considered incorrect.",High,High,Low,Low,High
